Cliente_ID,Edad,Genero,Saldo,Activo,Nivel_de_Satisfaccion
1,24.0,N,72699.44,1.0,4.0
2,52.0,F,15084.72,1.0,2.0
3,44.0,F,44786.12,0.0,5.0
4,27.0,N,94585.26,0.0,2.0
5,56.0,M,81708.46,0.0,5.0
6,56.0,M,71631.92,0.0,0.0
7,51.0,F,72153.11,1.0,3.0
8,50.0,M,26272.54,0.0,2.0
9,71.0,F,97448.72,1.0,3.0
10,75.0,F,27869.11,0.0,4.0
11,31.0,M,1706.24,1.0,1.0
12,0.0,M,0.0,1.0,2.0
13,42.0,M,88074.14,1.0,1.0
14,0.0,M,31728.58,1.0,2.0
15,40.0,M,15484.29,0.0,5.0
16,77.0,F,71185.73,1.0,4.0
17,79.0,F,92471.14,1.0,3.0
18,77.0,M,99907.54,1.0,4.0
19,28.0,N,0.0,0.0,2.0
20,73.0,M,74288.86,1.0,4.0
21,25.0,F,88998.29,0.0,2.0
22,0.0,M,55490.97,0.0,2.0
23,54.0,M,84468.13,0.0,0.0
24,0.0,F,6974.15,0.0,5.0
25,34.0,F,82431.69,1.0,3.0
26,21.0,M,15686.61,0.0,5.0
27,20.0,M,98057.89,0.0,4.0
28,42.0,F,44454.65,0.0,4.0
29,35.0,M,32649.18,1.0,3.0
30,26.0,F,86693.34,1.0,2.0
31,72.0,M,93618.71,1.0,5.0
32,32.0,N,92280.0,0.0,2.0
33,62.0,M,0.0,1.0,1.0
34,23.0,N,52574.57,0.0,4.0
35,34.0,M,58986.58,1.0,1.0
36,61.0,F,98989.9,1.0,3.0
37,50.0,F,19013.48,1.0,0.0
38,59.0,F,17205.29,0.0,3.0
39,0.0,F,40417.18,1.0,5.0
40,0.0,F,9479.72,0.0,2.0
41,0.0,M,66987.21,1.0,0.0
42,0.0,M,28033.56,0.0,3.0
43,73.0,M,8984.92,0.0,1.0
44,0.0,M,49370.33,0.0,4.0
45,61.0,F,57953.87,1.0,0.0
46,32.0,M,23965.39,0.0,2.0
47,38.0,F,48297.29,1.0,1.0
48,73.0,F,30303.55,1.0,2.0
49,0.0,M,17491.49,0.0,4.0
50,66.0,F,43284.87,0.0,3.0
51,54.0,M,48539.04,0.0,2.0
52,76.0,N,14261.97,1.0,2.0
53,20.0,M,14704.13,0.0,4.0
54,35.0,F,20926.58,1.0,5.0
55,18.0,M,88246.47,0.0,3.0
56,57.0,M,50219.09,0.0,1.0
